"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared","V9"
1,0.467,0.269886874657909,0.976522624945844,1.28309446077917,75,31,0.929993939606636,15
2,0.354,0.156330187322256,0.975079552081652,0.878347764260052,0,0,0,0
3,0.369,0.170773499986603,0.972221443192859,0.933458460273625,0,0,0,0
4,0.374,0.175216812650951,0.968009540610136,0.950138886385719,0,0,0,0
5,0.373,0.173660125315298,0.962531864043961,0.944309033753266,0,0,0,0
6,0.391,0.191103437979645,0.95590042870294,1.00881398304471,0,0,0,0
7,0.348,0.147546750643992,0.948248765837969,0.844121960434139,0,0,0,0
8,0.409,0.207990063308339,0.939729600818093,1.06969027655296,0,0,0,0
9,0.384,0.182433375972686,0.930512554193825,0.976973325678715,0,0,0,0
10,0.397,0.194876688637034,0.920781625589726,1.02254249822334,0,0,0,0
11,0.366,0.163320001301381,0.910732050603048,0.905193407175849,0,0,0,0
12,0.389,0.185763313965728,0.900566233635759,0.989252457095746,0,0,0,0
13,0.313,0.109206626630075,0.890488812464154,0.687495924618454,0,0,0,0
14,0.327,0.122649939294422,0.880701295106583,0.743849566031375,0,0,0,0
15,0.378,0.173093251958769,0.871397040674776,0.942182334784793,0,0,0,0
16,0.368,0.162536564623116,0.862757250079327,0.902201127304926,0,0,0,0
17,0.324,0.117979877287464,0.854947928031046,0.724459146536507,0,0,0,0
18,0.349,0.142423189951811,0.848117315991078,0.823892289387712,0,0,0,0
19,0.339,0.131866502616158,0.842393642825688,0.781560978485825,0,0,0,0
20,0.338,0.130309815280505,0.837883474595511,0.775242044481698,0,0,0,0
21,0.338,0.129753127944852,0.834670892353454,0.772977412096792,0,0,0,0
22,0.346,0.137196440609199,0.832817540405704,0.803045299683817,0,0,0,0
23,0.351,0.141639753273546,0.83236351977637,0.820781216153551,0,0,0,0
24,0.36,0.150083065937894,0.833329008363955,0.854062973343707,0,0,0,0
25,0.357,0.146526378602241,0.835716356947873,0.840109078402188,0,0,0,0
26,0.368,0.156969691266588,0.83951235922728,0.880817985433164,0,0,0,0
27,0.359,0.147413003930935,0.844690447422059,0.843596412071778,0,0,0,0
28,0.359,0.146856316595282,0.851212673336598,0.841407504064941,0,0,0,0
29,0.367,0.154299629259629,0.859031465803091,0.87048508584547,0,0,0,0
30,0.373,0.159742941923976,0.868091247959018,0.891497145471954,0,0,0,0
31,0.375,0.161186254588324,0.878329966444853,0.89703396316235,0,0,0,0
32,0.386,0.171629567252671,0.889680471594602,0.936681820570923,0,0,0,0
33,0.367,0.152072879917018,0.902071635679301,0.861828745289086,0,0,0,0
34,0.355,0.139516192581365,0.915429199170481,0.81232429463544,0,0,0,0
35,0.367,0.150959505245712,0.929676598465114,0.857487082496252,0,0,0,0
36,0.374,0.157402817910059,0.944736270339581,0.882489395547814,0,0,0,0
37,0.363,0.145846130574406,0.960531893732537,0.83742945913973,0,0,0,0
38,0.456,0.238289443238754,0.976991738509572,1.17574220109746,0,0,0,0
39,0.41,0.191732755903101,0.994052875318349,1.01110896096355,0,0,0,0
40,0.427,0.208176068567448,1.01166557310477,1.07035306149054,0,0,0,0
41,0.441,0.221619381231795,1.02979713134546,1.11784876656406,0,0,0,0
42,0.449,0.229062693896142,1.04843475568556,1.14382546084434,0,0,0,0
43,0.447,0.226506006560489,1.06758737386854,1.1349269036685,0,0,0,0
44,0.438,0.216949319224837,1.08728631305699,1.10143742541883,0,0,0,0
45,0.395,0.173392631889184,1.10758490103917,0.943305747208552,0,0,0,0
46,0.422,0.199835944553531,1.12855747260571,1.04047324109139,0,0,0,0
47,0.421,0.198279257217878,1.15029865030132,1.03485838442893,0,0,0,0
48,0.5,0.276722569882225,1.17292368375835,1.30600668760957,0,0,0,0
49,0.48,0.256165882546572,1.19656996922937,1.23680234128008,0,0,0,0
50,0.519,0.294609195210919,1.22139909660466,1.36559720288747,0,0,0,0
51,0.506,0.281052507875267,1.24759847372433,1.32047615717765,0,0,0,0
52,0.542,0.316495820539614,1.27538181407872,1.43805273545785,0,0,0,0
53,0.524,0.297939133203961,1.30498812472926,1.37664564821503,0,0,0,0
54,0.532,0.305382445868308,1.33667904752593,1.40130448410133,0,0,0,0
55,0.498,0.270825758532655,1.37073462479308,1.2862468439808,0,0,0,0
56,0.577,0.349269071197002,1.40744786353462,1.54637094916565,0,0,0,0
57,0.595,0.366712383861349,1.44711855355358,1.60428974264002,0,0,0,0
58,0.578,0.349155696525697,1.49004638335391,1.54599545831809,0,0,0,0
59,0.571,0.341599009190044,1.5365229514615,1.52098829636993,0,0,0,0
60,0.596,0.366042321854391,1.58682245978287,1.60205846525405,0,0,0,0
61,0.579,0.348485634518738,1.64119145962463,1.54377645102209,0,0,0,0
62,0.583,0.351928947183085,1.6998383339679,1.55518329351393,0,0,0,0
63,0.633,0.401372259847432,1.76292320909364,1.72072386530921,0,0,0,0
64,0.645,0.412815572511779,1.83054887634989,1.75972267550107,0,0,0,0
65,0.672,0.439258885176127,1.90275299426055,1.85122741762928,0,0,0,0
66,0.673,0.439702197840474,1.97950149812187,1.85277989123037,0,0,0,0
67,0.704,0.470145510504821,2.06068311403987,1.96106098432462,0,0,0,0
68,0.718,0.483588823169168,2.14610509092598,2.01002114607408,0,0,0,0
69,0.716,0.481032135833515,2.23549043436166,2.00065163969536,0,0,0,0
70,0.683,0.447475448497862,2.32847708236936,1.88010946583382,0,0,0,0
71,0.728,0.491918761162209,2.4246198435436,2.04074396770904,0,0,0,0
72,0.829,0.592362073826557,2.5233962742339,2.43838555089948,0,0,0,0
73,0.881,0.643805386490904,2.62421722141483,2.66439364794337,0,0,0,0
74,0.917,0.679248699155251,2.72644137651108,2.82984043402048,0,0,0,0
75,0.914,0.675692011819598,2.82939200994223,2.81287098950737,0,0,0,0
76,0.953,0.714135324483945,2.93237411037739,3.00067445214892,0,0,0,0
77,1.008,0.768578637148292,3.03469100425038,3.28317810216882,0,0,0,0
78,0.976,0.736021949812639,3.13566005604242,3.11192181373502,0,0,0,0
79,1.036,0.795465262476987,3.23462704762971,3.42973042062168,0,0,0,0
80,1.016,0.774908575141334,3.33097894188648,3.31726843797706,0,0,0,0
81,1.038,0.796351887805681,3.4241551015386,3.43464069253001,0,0,0,0
82,1.114,0.871795200470028,3.5136572441642,3.86971424528314,0,0,0,0
83,1.112,0.869238513134375,3.5990581359858,3.85443685705327,0,0,0,0
84,1.09,0.846681825798723,3.68000836909641,3.72121359203257,0,0,0,0
85,1.106,0.86212513846307,3.75624039996406,3.81211858890805,0,0,0,0
86,1.116,0.871568451127417,3.82756985712455,3.86835788538377,0,0,0,0
87,1.169,0.924011763791764,3.89389490511752,4.18907387277973,0,0,0,0
88,1.129,0.883455076456111,3.95519418465003,3.93983057854775,0,0,0,0
89,1.143,0.896898389120458,4.01152320765939,4.02155020049112,0,0,0,0
90,1.171,0.924341701784805,4.06300912466669,4.1911336377242,0,0,0,0
91,1.145,0.897785014449152,4.10984424282794,4.0269720549593,0,0,0,0
92,1.193,0.9452283271135,4.15227874154965,4.32249628069408,0,0,0,0
93,1.157,0.908671639777847,4.19061277088764,4.09386145901272,0,0,0,0
94,1.183,0.934114952442194,4.22518800121656,4.25236663415601,0,0,0,0
95,1.189,0.939558265106541,4.25637877317466,4.28665107463183,0,0,0,0
96,1.159,0.909001577770888,4.2845830932058,4.09589765259188,0,0,0,0
97,1.187,0.936444890435235,4.31021379318144,4.26702615483763,0,0,0,0
98,1.195,0.943888203099583,4.33369028558799,4.31401221958319,0,0,0,0
99,1.187,0.93533151576393,4.35543129647463,4.26001810619728,0,0,0,0
100,1.193,0.940774828428277,4.37584865215415,4.29433071174611,0,0,0,0
101,1.225,0.972218141092624,4.39534200787835,4.49485775542623,0,0,0,0
102,1.213,0.959661453756971,4.41429435520745,4.41432487668442,0,0,0,0
103,1.193,0.939104766421318,4.43306797593069,4.28378992632535,0,0,0,0
104,1.217,0.962548079085665,4.45200057160531,4.43278722364617,0,0,0,0
105,1.229,0.973991391750013,4.47140172833511,4.50627603521352,0,0,0,0
106,1.207,0.95143470441436,4.49155001796268,4.36188267886056,0,0,0,0
107,1.213,0.956878017078707,4.51269078715081,4.39655233716084,0,0,0,0
108,1.288,1.03132132974305,4.53503460772734,4.88050655048322,0,0,0,0
109,1.221,0.963764642407401,4.55875623133606,4.44057745561235,0,0,0,0
110,1.225,0.967207955071748,4.5839934789948,4.46265608151557,0,0,0,0
111,1.242,0.983651267736095,4.61084568358563,4.56866496352116,0,0,0,0
112,1.239,0.980094580400443,4.639372173896,4.54565774590551,0,0,0,0
113,1.252,0.99253789306479,4.66959158585672,4.62632578653119,0,0,0,0
114,1.248,0.987981205729137,4.70148231378154,4.59672902799758,0,0,0,0
115,1.266,1.00542451839348,4.73498406786358,4.71035688565594,0,0,0,0
116,1.262,1.00086783105783,4.77000049006734,4.68059009628988,0,0,0,0
117,1.272,1.01031114372218,4.80640279622298,4.74234055030353,0,0,0,0
118,1.282,1.01975445638653,4.84403441199246,4.8043175023163,0,0,0,0
119,1.34,1.07719776905087,4.88271649437892,5.18482023239327,0,0,0,0
120,1.286,1.02264108171522,4.92225387075496,4.82330428424949,0,0,0,0
121,1.314,1.05008439437957,4.96244058254518,5.00463300453678,0,0,0,0
122,1.314,1.04952770704391,5.00306454032523,5.00094215560273,0,0,0,0
123,1.373,1.10797101970826,5.04391141464362,5.38978084849141,0,0,0,0
124,1.324,1.05841433237261,5.08476777805734,5.0599098020317,0,0,0,0
125,1.324,1.05785764503696,5.12542299519651,5.05621298172529,0,0,0,0
126,1.326,1.0593009577013,5.16566965097477,5.06579839166577,0,0,0,0
127,1.355,1.08774427036565,5.20530323436695,5.25505382160497,0,0,0,0
128,1.338,1.07018758303,5.24412205732236,5.13816804246319,0,0,0,0
129,1.395,1.12663089569434,5.28192776689066,5.51389697405311,0,0,0,0
130,1.358,1.08907420835869,5.31852614138536,5.26391284927512,0,0,0,0
131,1.367,1.09751752102304,5.35372763061042,5.32015892007657,0,0,0,0
132,1.365,1.09496083368739,5.3873473866336,5.30312729567588,0,0,0,0
133,1.375,1.10440414635173,5.41920511888536,5.36602898753717,0,0,0,0
134,1.383,1.11184745901608,5.4491253818927,5.41558690535863,0,0,0,0
135,1.407,1.13529077168043,5.47693862060286,5.57137380657152,0,0,0,0
136,1.389,1.11673408434477,5.50248282729924,5.4481040931125,0,0,0,0
137,1.397,1.12417739700912,5.52560542309259,5.49759571414272,0,0,0,0
138,1.393,1.11962070967347,5.54616515848235,5.46730381671867,0,0,0,0
139,1.447,1.17306402233782,5.56403414755381,5.82043734347004,0,0,0,0
140,1.403,1.12850733500216,5.57910003050702,5.52635946612352,0,0,0,0
141,1.423,1.14795064766651,5.5912678119802,5.65519021706561,0,0,0,0
142,1.403,1.12739396033086,5.60046093095758,5.51896542879882,0,0,0,0
143,1.421,1.1448372729952,5.60662166818192,5.63460415816969,0,0,0,0
